Description,Price,Rating,ReviewCount,url
"SHW L-Shaped Desk Home Office Corner Table with Shelves, Espresso",$144.87 ,4.2 out of 5 stars,"14,623",https://www.amazon.ca/L-Shaped-Home-Office-Corner-Espresso/dp/B07H4TGCCM/ref=sr_1_34?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-34
"soges 59inches x 59inches L Shaped Desk Computer Desk Multifunctional L Desk Large Corner Desk, Black, ZJ02-BK-N-CA",$163.00 ,4.3 out of 5 stars,418,https://www.amazon.ca/59inches-L-Shaped-Computer-Multifunctional-ZJ02-BK-N-CA/dp/B07CVMXZGR/ref=sr_1_35?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-35
"SHW Home Office Computer Desk with Shelves, Maple",$99.87 ,4.5 out of 5 stars,293,https://www.amazon.ca/SHW-Office-Computer-Shelves-Maple/dp/B095VQXT7C/ref=sr_1_36?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-36
"COTUBLR 55 Inch Computer Desk with Storage Shelf, Study Table for Kids, Writing Desk with Bookshelf, Sturdy Wood Desk for Bedroom, Home Office Desk, Black",$89.99 ,4.3 out of 5 stars,144,https://www.amazon.ca/COTUBLR-Computer-Bookshelf-Storage-Writing/dp/B08HRZZVCG/ref=sr_1_37?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-37
"SogesPower 53× 53 inches L-Shaped Desk Corner Computer Desk with Storage Shelf Modern Home Office Desk Student Writing Desk, Black, SPDX-392BK-N-CA",$169.00 ,4.6 out of 5 stars,2,https://www.amazon.ca/SogesPower-L-Shaped-Computer-Storage-SPDX-392BK-N-CA/dp/B08P1B68T2/ref=sr_1_38?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-38
"Maxzzz Computer Desk, L Shaped Desk Corner Gaming Desk with Storage Shelves, Multi-Usage Laptop Desk & Home Office Desk Sturdy Gaming Table Workstation Desk with Large Monitor Stand",$215.99 ,4.4 out of 5 stars,32,https://www.amazon.ca/Maxzzz-Computer-Storage-Multi-Usage-Workstation/dp/B09BC1S8ZN/ref=sr_1_39?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-39
"VASAGLE ALINRU Computer Desk, 55.1-Inch Long Home Office Desk for Study, Writing Desk with 2 Shelves on Left or Right, Steel Frame, Industrial, Rustic Brown and Black ULWD55X",$159.99 ,4.6 out of 5 stars,"2,254",https://www.amazon.ca/VASAGLE-ULWD55X-Industrial-Computer-Assembly/dp/B07GS1LRDY/ref=sr_1_40?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-40
"Computer Desk,39.4” 47.2”Home Office Desk Writing Study Table Modern Simple Style PC Desk with Metal Frame for Home Office (39.4”)",$37.07 ,4.5 out of 5 stars,23,https://www.amazon.ca/47-Small-Desk-Desk%EF%BC%8CComputer-Design%EF%BC%8CBlack/dp/B09C5SMSQG/ref=sr_1_41?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-41
"SHW Gaming Desk L-Shaped Office Computer Corner Table, Espresso",$109.87 ,4.4 out of 5 stars,"3,780",https://www.amazon.ca/L-Shaped-Home-Office-Corner-Espresso/dp/B07MFC32XC/ref=sr_1_42?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-42
"Need 31.5 inch Computer Desk Writing Desk Side Table Office Desk Computer Table, with BIFMA Certification, Black, AC3CB-8040-CA",$69.00 ,4.5 out of 5 stars,880,https://www.amazon.ca/Need-Computer-Certification-Writing-AC3CB-8040-CA/dp/B07RFLD8XS/ref=sr_1_43?crid=KQWQ1T01TXQ2&keywords=office+desk&qid=1661126158&sprefix=office+desk%2Caps%2C79&sr=8-43
